=================== ========= ==== ======================== ===========================================================================================================================================================
date/time           short_uid id   plan                     args                                                                                                                                                       
2017-10-26 14:43:46 b2b6ca56  31   scan                     detectors=['synthetic_pseudovoigt'], num=419, motor=['m1'], start=-2, stop=0, per_step=None                                                                
2017-10-26 14:45:30 e16cbba4  32   scan                     detectors=['synthetic_pseudovoigt'], num=419, motor=['m1'], start=-2, stop=0, per_step=None                                                                
2017-10-26 14:46:47 60b0f1de  33   scan                     detectors=['synthetic_pseudovoigt'], num=419, motor=['m1'], start=-2, stop=0, per_step=None                                                                
2017-10-26 14:48:08 d687592a  34   scan                     detectors=['synthetic_pseudovoigt'], num=219, motor=['m1'], start=-2, stop=0, per_step=None                                                                
2017-10-26 14:55:23 7e081dfd  35   scan                     detectors=['synthetic_pseudovoigt'], num=21, motor=['m1'], start=-2, stop=0, per_step=None                                                                 
2017-10-26 14:56:34 8a4bb2a9  36   scan                     detectors=['synthetic_pseudovoigt'], num=83, motor=['m1'], start=-2, stop=0, per_step=None                                                                 
2017-10-26 14:57:24 d01ac04a  37   scan                     detectors=['synthetic_pseudovoigt'], num=83, motor=['m1'], start=-2, stop=0, per_step=None                                                                 
2017-10-26 15:03:33 01e43e58  38   scan                     detectors=['synthetic_pseudovoigt'], num=201, motor=['m1'], start=-2, stop=0, per_step=None                                                                
2017-10-26 15:04:28 7fb0b2da  39   scan                     detectors=['synthetic_pseudovoigt'], num=201, motor=['m1'], start=0, stop=2, per_step=None                                                                 
2017-10-26 15:05:06 27f76c82  40   scan                     detectors=['synthetic_pseudovoigt'], num=201, motor=['m1'], start=0, stop=2, per_step=None                                                                 
2017-10-26 15:06:16 e57d6cdd  41   scan                     detectors=['synthetic_pseudovoigt'], num=201, motor=['m1'], start=0, stop=2, per_step=None                                                                 
2017-10-26 15:10:28 019f0c1f  42   scan                     detectors=['synthetic_pseudovoigt'], num=201, motor=['motor'], start=0, stop=2, per_step=None                                                              
2017-10-26 15:10:30 b03415c4  43   scan                     detectors=['synthetic_pseudovoigt'], num=201, motor=['motor'], start=0, stop=2, per_step=None                                                              
2017-10-26 15:10:33 0164233f  44   scan                     detectors=['synthetic_pseudovoigt'], num=201, motor=['motor'], start=0, stop=2, per_step=None                                                              
2017-10-26 15:18:45 8261f772  45   scan                     detectors=['det'], num=83, motor=['motor'], start=-2, stop=2, per_step=None                                                                                
2017-10-26 15:19:08 7ad54d00  46   scan                     detectors=['det'], num=83, motor=['motor'], start=-2, stop=2, per_step=None                                                                                
2017-10-26 15:19:21 04ca8f6a  47   scan                     detectors=['det'], num=83, motor=['motor'], start=-2, stop=2, per_step=None                                                                                
2017-10-26 15:29:22 3ffb89e0  48   tune_centroid            detectors=['det'], motor=['motor'], start=-2, stop=2, num_points=10, min_step=1e-05                                                                        
2017-10-26 15:29:45 23278559  49   tune_centroid            detectors=['det'], motor=['motor'], start=-2, stop=2, num_points=10, min_step=1e-05                                                                        
2017-10-26 15:30:16 88076d52  50   tune_centroid            detectors=['det'], motor=['motor'], start=-200, stop=200, num_points=10, min_step=1e-05                                                                    
2017-10-26 15:33:06 ed6a1968  51   tune_centroid            detectors=['det'], motor=['motor'], start=-2, stop=2, num_points=20, min_step=1e-05                                                                        
2017-10-26 15:35:40 a46b66ac  52   tune_centroid            detectors=['det'], motor=['motor'], start=-2, stop=2, num_points=10, min_step=0.1                                                                          
2017-10-26 15:40:03 2e5c6d03  53   scan                     detectors=['synthetic_pseudovoigt'], num=201, motor=['motor'], start=0, stop=2, per_step=None                                                              
2017-10-26 15:40:06 4809c082  54   tune_centroid            detectors=['synthetic_pseudovoigt'], motor=['motor'], start=0, stop=2, num_points=10, min_step=0.1                                                         
2017-10-26 15:42:09 dc255e88  55   scan                     detectors=['synthetic_pseudovoigt'], num=201, motor=['motor'], start=0, stop=2, per_step=None                                                              
2017-10-26 15:42:12 591f18e0  56   tune_centroid            detectors=['synthetic_pseudovoigt'], motor=['motor'], start=0, stop=2, num_points=10, min_step=0.1                                                         
2017-10-26 15:42:35 1e86d744  57   tune_centroid            detectors=['synthetic_pseudovoigt'], motor=['motor'], start=0, stop=2, num_points=10, min_step=0.01                                                        
2017-10-26 15:43:18 4b847f61  58   scan                     detectors=['synthetic_pseudovoigt'], num=201, motor=['motor'], start=0, stop=2, per_step=None                                                              
2017-10-26 15:43:20 60ccda1a  59   tune_centroid            detectors=['synthetic_pseudovoigt'], motor=['motor'], start=0, stop=2, num_points=10, min_step=0.01                                                        
2017-10-27 12:34:54 fcc8b16e  60   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-27 12:35:08 45fe5e1e  61   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-28 15:27:06 46c870cb  62   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-28 15:27:20 9ff0fcfc  63   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-28 18:03:00 9815d03a  64   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-28 18:03:14 93adffa5  65   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-29 14:35:59 4596db2e  66   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-10-29 14:36:13 f800a22f  67   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-11-03 16:27:05 603ea37c  68   scan                     detectors=['synthetic_pseudovoigt'], num=101, motor=['m1'], start=-2, stop=2, per_step=None                                                                
2017-11-03 16:27:18 d9a97e10  69   scan                     detectors=['synthetic_pseudovoigt'], num=101, motor=['m1'], start=-2, stop=2, per_step=None                                                                
2017-11-03 16:28:07 9142b6bf  70   scan                     detectors=['synthetic_pseudovoigt'], num=101, motor=['m1'], start=-2, stop=2, per_step=None                                                                
2017-11-03 16:33:40 53a9bae6  71   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-11-03 16:33:55 809505a3  72   scan                     detectors=['noisy'], num=219, motor=['m1'], start=-1.5, stop=-0.5, per_step=None                                                                           
2017-11-03 16:35:17 c06372a2  73   scan                     detectors=['noisy'], num=51, motor=['m1'], start=-2, stop=0, per_step=None                                                                                 
2017-11-03 16:36:09 b8fe07a0  74   scan                     detectors=['noisy'], num=51, motor=['m1'], start=-2, stop=0, per_step=None                                                                                 
2017-11-03 16:37:16 cba93ede  75   scan                     detectors=['noisy'], num=251, motor=['m1'], start=-2, stop=0, per_step=None                                                                                
2017-11-03 16:39:02 42a1ab76  76   tune_centroid            detectors=['noisy'], motor=['m1'], start=-5, stop=5, num_points=10, min_step=0.01                                                                          
2017-11-03 17:24:46 fa05f8f8  77   count                    detectors=['13SIM1:'], num=1                                                                                                                               
2017-11-03 18:02:37 6416903f  78   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:04:49 12144dd1  79   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:35:10 0650c297  82   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:36:12 57b6bcce  83   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:37:08 2101fbf6  84   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:40:55 856eb0d1  85   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:48:45 40f70f8f  86   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:49:53 333c460a  87   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:50:00 5066b922  88   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:52:20 0bc393ea  89   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:52:22 885b83e9  90   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:52:23 8cd9433a  91   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:53:09 faf1d868  92   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 18:53:15 04298b33  93   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 19:04:47 038832f0  94   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 19:05:30 bd207296  95   count                    detectors=['simdet'], num=2                                                                                                                                
2017-11-03 19:05:43 37d9d5a1  96   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 19:05:52 f4fac174  97   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 19:05:58 87301bc5  98   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 19:06:00 c95ed6c7  99   count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 19:06:28 ad78244e  100  count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-03 19:07:59 907b7758  101  count                    detectors=['simdet'], num=1                                                                                                                                
2017-11-26 17:31:23 5f2b3551  246  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 17:37:41 fa5b1eba  247  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 17:38:41 0b485f0c  248  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 17:43:17 a27a5928  249  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 17:44:32 c3ee1132  250  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 17:45:53 5f085a8a  251  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 17:48:28 c1b1e412  252  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 17:52:36 767449fb  253  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 17:53:12 af7d36ae  254  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 17:53:27 8708db29  255  nscan                    detectors=['noisy_value'], num=5, motors=['m1', 'm2'], per_step=None                                                                                       
2017-11-26 17:54:19 273d4675  247  nscan                    detectors=['noisy_value'], num=5, motors=['m1', 'm2'], per_step=None                                                                                       
2017-11-26 17:56:31 c6edb022  248  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 17:58:20 abc9a026  249  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:00:47 738213fb  250  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:01:09 7ed15651  251  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:01:34 493f3531  252  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:02:24 dca893ad  253  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:02:38 f15d0878  254  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:02:53 78c0512a  255  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:04:01 95476ad5  256  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:04:17 3d93d4ac  257  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:04:43 a2b5365a  258  nscan                    detectors=['noisy'], num=5, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:05:55 3f43588b  259  nscan                    detectors=['noisy'], num=10, motors=['m1', 'm2'], per_step=None                                                                                            
2017-11-26 18:06:13 4567a4ef  260  nscan                    detectors=['noisy'], num=6, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:06:54 b997cd93  261  nscan                    detectors=['noisy'], num=6, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-26 18:17:17 48b3e31f  262  nscan                    detectors=['noisy'], num=6, motors=['m1', 'm2'], per_step=None                                                                                             
2017-11-30 17:23:51 7512b88b  292  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.98, stop=-0.98, per_step=None                                                                          
2017-11-30 17:24:44 24467add  293  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.48, stop=-0.4800000000000001, per_step=None                                                            
2017-11-30 17:26:49 520e5a3b  294  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.98, stop=-0.98, per_step=None                                                                          
2017-11-30 17:27:54 503e2f91  295  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.98, stop=-0.98, per_step=None                                                                          
2017-11-30 17:28:39 87f3bbbe  296  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.98, stop=-0.98, per_step=None                                                                          
2017-11-30 17:32:23 8a8965f2  297  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.98, stop=-0.98, per_step=None                                                                          
2017-11-30 17:35:39 0ec85bd9  298  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.98, stop=-0.98, per_step=None                                                                          
2017-11-30 17:40:06 9fd2a09f  299  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-2.0516, stop=-1.0516, per_step=None                                                                      
2017-11-30 17:42:41 aec9225e  300  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.7, stop=-0.7, per_step=None                                                                            
2017-11-30 17:43:19 13c86a08  301  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.1712, stop=-1.0712, per_step=None                                                                      
2017-11-30 17:43:49 92257d3c  302  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.6212, stop=-0.6212, per_step=None                                                                      
2017-11-30 17:44:36 272469c9  303  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.5516, stop=-0.5516000000000001, per_step=None                                                          
2017-11-30 17:45:01 dc0d08dd  304  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.2104000000000001, stop=-1.1104, per_step=None                                                          
2017-11-30 17:45:28 bdd7152b  305  scan                     detectors=['noisy'], num=10, motor=['m1'], start=-1.167, stop=-1.1570000000000003, per_step=None                                                           
2017-11-30 17:51:16 fdc5aa77  306  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.6620000000000001, stop=-0.6620000000000001, per_step=None                                            
2017-11-30 17:51:46 161e08d0  307  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.1564, stop=-1.0564, per_step=None                                                                    
2017-11-30 17:52:16 645b25ea  308  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.1201999999999999, stop=-1.1102, per_step=None                                                        
2017-11-30 17:55:53 8f6341ba  309  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.61, stop=-0.6100000000000001, per_step=None                                                          
2017-11-30 17:55:58 27a79870  310  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.2156, stop=-1.1156, per_step=None                                                                    
2017-11-30 17:56:00 f61beff6  311  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.1745999999999999, stop=-1.1646, per_step=None                                                        
2017-11-30 17:56:24 80030e12  312  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.6644, stop=-0.6644000000000001, per_step=None                                                        
2017-11-30 17:56:29 5d9619db  313  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.2708000000000002, stop=-1.1708, per_step=None                                                        
2017-11-30 17:57:09 754bde48  314  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-2.1708, stop=-0.17080000000000006, per_step=None                                                       
2017-11-30 17:57:16 2af1fc73  315  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.2908000000000002, stop=-1.0908, per_step=None                                                        
2017-11-30 17:57:18 2c8b995e  316  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.1872, stop=-1.1672, per_step=None                                                                    
2017-11-30 17:58:01 d247427e  317  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-2.1672000000000002, stop=-0.16720000000000002, per_step=None                                           
2017-11-30 17:58:08 12bf6f63  318  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.3768000000000002, stop=-1.1768, per_step=None                                                        
2017-11-30 17:58:10 89b0b61c  319  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.252, stop=-1.232, per_step=None                                                                      
2017-11-30 18:00:39 28ca7399  293  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-2.232, stop=-0.23199999999999998, per_step=None                                                        
2017-11-30 18:00:46 d0ddb62f  294  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.2104000000000001, stop=-1.0104, per_step=None                                                        
2017-11-30 18:00:49 c9d8d131  295  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.062, stop=-1.042, per_step=None                                                                      
2017-11-30 18:01:25 cddc2dcb  296  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-2.042, stop=-0.04200000000000004, per_step=None                                                        
2017-11-30 18:01:32 f39ddada  297  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.2544000000000002, stop=-1.0544, per_step=None                                                        
2017-11-30 18:01:35 db56c2ee  298  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.1968, stop=-1.1768, per_step=None                                                                    
2017-11-30 18:03:26 679ee455  299  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-2.1768, stop=-0.17680000000000007, per_step=None                                                       
2017-11-30 18:03:33 055ca08d  300  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.3848000000000003, stop=-1.1848, per_step=None                                                        
2017-11-30 18:03:36 f05605df  301  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.2476, stop=-1.2276, per_step=None                                                                    
2017-11-30 18:06:49 edef4e20  302  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-2.2376, stop=-0.23760000000000003, per_step=None                                                       
2017-11-30 18:06:57 5d7df11e  303  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.6396000000000002, stop=-1.4396, per_step=None                                                        
2017-11-30 18:06:59 cd424c8d  304  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.534, stop=-1.514, per_step=None                                                                      
2017-11-30 18:10:22 c95a78e9  305  scan                     detectors=['spvoigt'], num=4, motor=['m1'], start=-2.524, stop=-0.524, per_step=None                                                                       
2017-11-30 18:10:48 74c811cd  306  scan                     detectors=['spvoigt'], num=5, motor=['m1'], start=-2.524, stop=-0.524, per_step=None                                                                       
2017-11-30 18:10:53 9b7214a9  307  scan                     detectors=['spvoigt'], num=5, motor=['m1'], start=-1.3577333333333332, stop=-0.6910666666666667, per_step=None                                             
2017-11-30 18:10:56 a09f0c2c  308  scan                     detectors=['spvoigt'], num=5, motor=['m1'], start=-1.1399111111111113, stop=-0.917688888888889, per_step=None                                              
2017-11-30 18:10:58 dee7f059  309  scan                     detectors=['spvoigt'], num=5, motor=['m1'], start=-1.103437037037037, stop=-1.029362962962963, per_step=None                                               
2017-11-30 18:12:36 ca798090  310  scan                     detectors=['spvoigt'], num=5, motor=['m1'], start=-2.0664, stop=-0.06640000000000001, per_step=None                                                        
2017-11-30 18:12:51 5fc24243  311  scan                     detectors=['spvoigt'], num=5, motor=['m1'], start=-2.0664, stop=-0.06640000000000001, per_step=None                                                        
2017-11-30 18:13:16 e759a7eb  312  scan                     detectors=['spvoigt'], num=7, motor=['m1'], start=-2.0664, stop=-0.06640000000000001, per_step=None                                                        
2017-11-30 18:13:22 bf6f9528  313  scan                     detectors=['spvoigt'], num=7, motor=['m1'], start=-1.066266666666667, stop=-1.7329333333333334, per_step=None                                              
2017-11-30 18:13:26 d9996cc8  314  scan                     detectors=['spvoigt'], num=7, motor=['m1'], start=-1.5107111111111113, stop=-1.288488888888889, per_step=None                                              
2017-11-30 18:13:28 5a1259b6  315  scan                     detectors=['spvoigt'], num=7, motor=['m1'], start=-1.361362962962963, stop=-1.435437037037037, per_step=None                                               
2017-11-30 18:13:30 96b2a82b  316  scan                     detectors=['spvoigt'], num=7, motor=['m1'], start=-1.3987456790123458, stop=-1.3740543209876543, per_step=None                                             
2017-11-30 18:13:31 fcbe5c55  317  scan                     detectors=['spvoigt'], num=7, motor=['m1'], start=-1.3858847736625515, stop=-1.3941152263374488, per_step=None                                             
2017-11-30 18:13:44 6a3f6bf5  318  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-2.39, stop=-0.3900000000000001, per_step=None                                                          
2017-11-30 18:13:51 25df35d5  319  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.1792, stop=-1.3792000000000002, per_step=None                                                        
2017-11-30 18:13:54 d150f872  320  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-1.3172000000000001, stop=-1.2972000000000001, per_step=None                                            
2017-11-30 18:17:33 0dbf4b28  321  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-2.3072, stop=-0.30720000000000014, per_step=None                                                       
2017-11-30 18:17:55 5a7f5369  322  scan                     detectors=['spvoigt'], num=10, motor=['m1'], start=-2.3072, stop=-0.30720000000000014, per_step=None                                                       
2017-11-30 18:18:21 b8155645  323  scan                     detectors=['spvoigt'], num=20, motor=['m1'], start=-2.3072, stop=-0.30720000000000014, per_step=None                                                       
2017-11-30 18:18:32 bfbdb47e  324  scan                     detectors=['spvoigt'], num=20, motor=['m1'], start=-1.3599999999999999, stop=-1.56, per_step=None                                                          
2017-11-30 18:18:34 13b96d17  325  scan                     detectors=['spvoigt'], num=20, motor=['m1'], start=-1.4436, stop=-1.4236, per_step=None                                                                    
2017-11-30 18:20:44 7c99bbda  326  scan                     detectors=['spvoigt'], num=20, motor=['m1'], start=-2.4336, stop=-0.4336, per_step=None                                                                    
2017-11-30 18:20:54 ee210ff3  327  scan                     detectors=['spvoigt'], num=20, motor=['m1'], start=-1.2808, stop=-1.4808000000000001, per_step=None                                                        
2017-11-30 18:20:57 aac9bb62  328  scan                     detectors=['spvoigt'], num=20, motor=['m1'], start=-1.3960000000000001, stop=-1.3760000000000001, per_step=None                                            
2017-11-30 18:20:59 ca29214b  329  scan                     detectors=['spvoigt'], num=20, motor=['m1'], start=-1.3834000000000002, stop=-1.3854, per_step=None                                                        
2017-11-30 18:21:07 a115daec  330  scan                     detectors=['spvoigt'], num=9, motor=['m1'], start=-2.3844000000000003, stop=-0.3844000000000001, per_step=None                                             
2017-11-30 18:21:14 dcf0547f  331  scan                     detectors=['spvoigt'], num=9, motor=['m1'], start=-1.2864, stop=-1.4864000000000002, per_step=None                                                         
